Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Abs Ext (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 01.ptm - Realtime: 2016 WRX 91 - 01.ptm]
0.000,-10.16,10.16,15.62,0,0,-1,0,0.0,13.05,-9.81,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,415,438,71.8,3,11.00,0.36,109,115,0,0,0,0,22.0,2.22,2.28,0.74,3.26,204,848,0.00,0,0,0,0,66.57,0.000,2.70,5.5,0.00,0
0.011,-10.16,10.16,15.60,0,0,-1,0,0.0,13.05,-9.82,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,411,438,71.8,3,11.00,0.36,109,115,0,0,0,0,22.0,2.22,2.31,0.74,3.26,204,850,0.00,0,0,0,0,66.57,0.000,2.71,5.5,0.00,0
0.024,-10.16,10.16,15.63,0,0,-1,0,0.0,13.05,-9.82,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,408,438,71.8,3,11.00,0.36,109,115,0,0,0,0,22.0,2.22,2.26,0.74,3.25,204,851,0.00,0,0,0,0,66.57,0.000,2.71,5.5,0.00,0
0.028,-10.16,10.16,15.65,0,0,-1,0,0.0,13.05,-9.81,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,409,438,71.8,2,10.50,0.36,111,115,0,0,0,0,22.0,2.23,2.21,0.74,3.25,204,854,0.00,0,0,0,0,66.58,0.000,2.72,5.5,0.00,0
0.054,-10.16,10.16,15.65,0,0,-1,0,0.0,13.05,-9.82,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,414,438,71.8,2,10.50,0.36,111,115,0,0,0,0,22.0,2.23,2.21,0.74,3.25,204,855,0.00,0,0,0,0,66.58,0.000,2.72,5.5,0.00,0
0.058,-10.16,10.16,15.62,0,0,-1,0,0.0,13.05,-9.82,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,419,438,71.8,2,10.50,0.36,111,115,0,0,0,0,22.0,2.23,2.26,0.72,3.25,204,855,0.00,0,0,0,0,66.58,0.000,2.72,5.5,0.00,0
0.063,-10.16,10.16,15.67,0,0,-1,0,0.0,13.05,-9.83,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,405,438,71.8,2,10.50,0.36,111,115,0,0,0,0,22.0,2.23,2.33,0.72,3.25,204,854,0.00,0,0,0,0,66.58,0.000,2.72,5.5,0.00,0
0.087,-9.38,10.16,15.64,0,0,-1,0,0.0,13.05,-9.83,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,414,438,71.8,2,10.50,0.36,111,115,0,0,0,0,22.0,2.23,2.40,0.76,3.24,204,853,0.00,0,0,0,0,66.58,0.000,2.71,5.5,0.00,0
0.114,-9.38,10.16,15.66,0,0,-1,0,0.0,13.05,-9.84,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,419,438,71.8,2,10.50,0.36,111,115,0,0,0,0,22.0,2.23,2.28,0.76,3.25,204,853,0.00,0,0,0,0,66.58,0.000,2.71,5.5,0.00,0
0.138,-9.38,10.16,15.67,0,0,-1,0,0.0,13.05,-9.82,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,424,438,71.8,2,10.50,0.36,111,115,0,0,0,0,22.0,2.23,2.33,0.76,3.25,204,852,0.00,0,0,0,0,66.58,0.000,2.71,5.5,0.00,0
0.163,-9.38,10.16,15.64,0,0,-1,0,0.0,13.05,-9.82,14.85,0.16,on,14.87,194,1.000,0.0,0.00,0.00,425,438,71.8,2,10.50,0.36,111,115,0,0,0,0,22.0,2.22,2.35,0.76,3.24,204,851,0.00,0,0,0,0,66.58,0.000,2.71,5.5,0.00,0
