Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 02.ptm - Realtime: 2016 WRX 91 - 02.ptm]
0.000,2.34,0.00,15.24,0,0,-1,0,0.0,13.05,-9.99,14.70,0.16,on,14.70,189,1.000,0.0,0.00,0.00,382,438,71.8,0,12.00,0.34,111,145,0,0,0,0,22.0,2.13,3.00,0.84,3.05,179,800,0.00,0,0,0,0,66.50,0.000,-10.46,7.1,0.00,0
0.006,2.34,0.00,15.30,0,0,-1,0,0.0,13.05,-9.97,14.70,0.16,on,14.70,189,1.000,0.0,0.00,0.00,386,438,71.8,0,12.00,0.34,111,145,0,0,0,0,22.0,2.16,3.07,0.84,3.05,179,797,0.00,0,0,0,0,66.50,0.000,-10.46,7.1,0.00,0
0.031,3.12,0.00,15.32,0,0,-1,0,0.0,13.05,-9.89,14.70,0.16,on,14.70,189,1.000,0.0,0.00,0.00,371,438,71.8,0,12.00,0.34,111,145,0,0,0,0,22.0,2.20,3.14,0.86,3.19,179,796,0.00,0,0,0,0,66.49,0.000,-10.46,7.1,0.00,0
0.036,3.12,0.00,15.27,0,0,-1,0,0.0,13.05,-9.77,14.70,0.17,on,14.70,189,1.000,0.0,0.00,0.00,373,438,71.8,0,12.00,0.51,111,145,0,0,0,0,22.0,2.30,3.39,0.90,3.31,179,798,0.00,0,0,0,0,66.50,0.000,-10.46,7.1,0.00,0
0.042,3.12,0.00,15.27,0,0,-1,0,0.0,13.05,-9.71,14.70,0.18,on,14.70,189,1.000,0.0,0.00,0.00,373,438,71.8,0,12.00,0.51,111,145,0,0,0,0,22.0,2.34,3.60,0.92,3.42,179,800,0.00,0,0,0,0,66.50,0.000,-10.46,7.1,0.00,0
0.070,3.12,0.00,15.32,0,0,-1,0,0.0,13.05,-9.63,14.70,0.18,on,14.70,189,1.000,0.0,0.00,0.00,360,438,71.8,0,12.00,0.51,111,145,0,0,0,0,22.0,2.39,3.60,0.92,3.51,179,806,0.00,0,0,0,0,66.50,0.000,-10.46,7.1,0.00,0
0.075,3.12,0.00,15.29,0,0,-1,0,0.0,13.05,-9.49,14.70,0.19,on,14.70,189,1.000,0.0,0.00,0.00,382,438,71.8,0,12.00,0.52,111,145,0,0,0,0,22.0,2.52,3.49,0.92,3.59,179,811,0.00,0,0,0,0,66.50,0.000,-10.44,7.1,0.00,0
0.101,3.12,0.00,15.31,0,0,-1,0,0.0,13.05,-9.43,14.70,0.19,on,14.70,189,1.000,0.0,0.00,0.00,370,438,71.8,0,11.50,0.52,111,145,0,0,0,0,22.0,2.60,3.21,0.88,3.66,179,822,0.00,0,0,0,0,66.50,0.000,-10.44,7.1,0.00,0
0.127,3.12,0.00,15.24,0,0,-1,0,0.0,13.05,-9.34,14.70,0.19,on,14.70,189,1.000,0.0,0.00,0.00,365,438,71.8,0,11.50,0.53,111,145,0,0,0,0,22.0,2.67,2.84,0.86,3.79,179,828,0.00,0,0,0,0,66.50,0.000,-10.40,7.1,0.00,0
0.133,3.12,0.00,15.31,0,0,-1,0,0.0,13.05,-9.30,14.70,0.19,on,14.70,189,1.000,0.0,0.00,0.00,371,438,71.8,0,11.50,0.54,111,145,0,0,0,0,22.0,2.74,2.62,0.80,3.82,179,842,0.00,0,0,0,0,66.50,0.000,-10.38,6.7,0.00,0
0.169,3.91,0.00,15.25,0,0,-1,0,2.7,13.05,-9.26,14.70,0.20,on,14.70,189,1.000,0.0,0.00,0.00,373,531,71.8,0,12.00,0.54,111,145,0,0,0,0,22.0,2.79,2.78,0.80,3.84,179,854,9.16,0,0,0,0,66.50,0.000,-6.98,6.3,0.00,0
0.194,3.91,0.00,15.26,0,0,-1,0,5.9,13.05,-9.27,14.70,0.20,on,14.70,189,1.000,0.0,0.00,0.00,381,531,71.8,0,8.50,0.55,111,145,0,0,0,0,22.0,2.81,2.81,0.82,3.81,179,860,18.33,0,0,0,0,66.49,0.000,-1.60,7.9,0.00,0
0.225,3.91,0.00,15.23,0,0,-1,0,6.7,13.05,-9.26,14.70,0.20,on,14.70,189,1.000,0.0,0.00,0.00,414,531,71.8,0,8.50,0.55,111,145,0,0,0,0,22.0,2.87,3.14,0.82,3.81,179,867,20.46,0,0,0,0,66.49,0.000,-0.18,7.9,0.00,0
