Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 04b.ptm - Realtime: 2016 WRX 91 - 04b.ptm]
0.000,-3.12,-3.91,14.60,0,0,-1,0,0.0,13.05,-9.86,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,416,438,71.8,0,8.00,0.39,109,118,0,0,1,0,22.0,2.84,2.96,0.86,3.21,189,906,0.00,0,0,0,0,66.34,0.000,-10.23,5.9,0.00,0
0.017,-3.12,-3.91,14.59,0,0,-1,0,0.0,13.05,-9.86,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,415,438,71.8,0,8.00,0.39,109,118,0,0,1,0,22.0,2.84,3.00,0.86,3.22,189,906,0.00,0,0,0,0,66.34,0.000,-10.23,5.9,0.00,0
0.043,-3.12,-3.91,14.58,0,0,-1,0,0.0,13.05,-9.85,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,410,438,71.8,0,8.00,0.39,109,118,0,0,1,0,22.0,2.84,2.90,0.86,3.22,189,907,0.00,0,0,0,0,66.35,0.000,-10.23,5.9,0.00,0
0.049,-3.12,-3.91,14.60,0,0,-1,0,0.0,13.05,-9.84,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,424,438,71.8,0,7.50,0.39,109,118,0,0,1,0,22.0,2.84,2.96,0.86,3.22,189,907,0.00,0,0,0,0,66.35,0.000,-10.23,5.9,0.00,0
0.083,-3.12,-3.91,14.60,0,0,-1,0,0.0,13.05,-9.85,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,414,438,71.8,0,8.00,0.38,109,118,0,0,1,0,22.0,2.82,2.74,0.82,3.22,189,904,0.00,0,0,0,0,66.35,0.000,-10.24,5.9,0.00,0
0.088,-3.12,-3.91,14.62,0,0,-1,0,0.0,13.05,-9.87,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,412,438,71.8,0,7.50,0.39,109,118,0,0,1,0,22.0,2.83,2.74,0.82,3.21,189,907,0.00,0,0,0,0,66.35,0.000,-10.23,5.9,0.00,0
0.112,-3.12,-3.91,14.62,0,0,-1,0,0.0,13.05,-9.87,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,409,438,71.8,0,7.50,0.39,109,118,0,0,1,0,22.0,2.82,2.74,0.82,3.23,189,904,0.00,0,0,0,0,66.35,0.000,-10.23,5.9,0.00,0
0.117,-3.12,-3.91,14.61,0,0,-1,0,0.0,13.05,-9.86,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,417,438,71.8,0,7.50,0.39,109,118,0,0,1,0,22.0,2.81,2.83,0.84,3.22,189,903,0.00,0,0,0,0,66.35,0.000,-10.24,5.9,0.00,0
0.133,-3.12,-3.91,14.63,0,0,-1,0,0.0,13.05,-9.87,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,419,438,71.8,0,8.00,0.38,109,118,0,0,1,0,22.0,2.81,2.68,0.82,3.21,189,904,0.00,0,0,0,0,66.35,0.000,-10.24,5.9,0.00,0
0.203,-3.12,-3.91,14.64,0,0,-1,0,0.0,13.05,-9.86,14.70,0.19,on,14.70,194,1.000,0.0,0.00,0.00,421,438,71.8,0,8.00,0.39,109,118,0,0,1,0,22.0,2.81,2.80,0.82,3.22,189,905,0.00,0,0,0,0,66.35,0.000,-10.24,5.9,0.00,0
