Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361 LWG.ptm - Realtime: Stage2+BigSF 91 v361 LWG.ptm]
0.000,5.47,0.00,-1.88,11.37,14.82,28.34,57.3,13.52,10.37,11.82,11.82,0.0,2.00,1077.6,11.83,194,1.000,3.87,2.00,0.0,0.0,0.00,-1.41,1.000,1894,2030,78.8,2,1.50,13.55,55,108.12,107.69,3.24,23.59,213,0.0,0.00,3207,289.41,2.85,1.000,41.41,25.98,100.0,28,16.47,0
0.005,4.69,0.00,-1.88,11.56,14.65,28.06,57.3,13.36,10.35,11.82,11.82,0.0,2.00,1077.6,11.83,194,1.000,3.87,2.00,0.0,0.0,0.00,-1.41,1.000,1924,2030,78.8,2,1.50,13.73,55,108.41,111.53,3.18,23.05,213,0.0,0.00,3229,289.30,2.83,1.000,38.28,25.95,100.0,28,16.08,0
0.011,4.69,0.00,-1.88,11.53,14.58,27.93,57.3,13.36,10.35,11.82,11.82,0.0,2.00,1077.6,11.83,194,1.000,3.87,2.00,0.0,0.0,0.00,-1.41,1.000,1798,2030,78.8,2,1.50,13.73,55,108.49,106.84,3.18,22.95,213,0.0,0.00,3233,289.23,2.84,1.000,38.28,25.93,100.0,28,16.08,0
0.028,5.47,0.00,-1.75,11.57,14.17,26.83,57.3,13.36,10.51,11.83,11.83,0.0,1.99,1077.4,11.87,194,1.000,3.87,2.00,0.0,0.0,0.00,-1.05,1.000,2081,2030,78.8,2,1.50,13.20,55,108.45,107.69,3.26,23.10,213,0.0,0.00,3262,289.00,2.68,1.000,35.16,25.87,100.0,29,16.08,0
0.065,5.47,0.00,-1.75,11.47,13.90,26.28,57.3,13.36,10.56,11.83,11.83,0.0,1.98,1077.4,11.83,194,1.000,3.87,2.00,0.0,0.0,0.00,-1.05,1.000,2048,2030,78.8,2,1.50,13.20,55,109.15,106.41,3.26,23.68,213,0.0,0.50,3286,288.93,2.51,1.000,35.16,25.83,100.0,29,16.08,0
0.073,4.69,0.00,-1.75,11.54,13.64,25.67,57.6,13.28,10.49,11.82,11.82,0.0,1.95,1077.4,11.83,194,1.000,3.87,2.50,0.0,0.0,0.00,-1.05,1.000,1914,2030,78.8,2,2.50,14.04,55,107.93,109.40,3.12,23.48,213,0.0,0.50,3302,289.12,2.59,1.000,40.62,25.84,100.0,29,16.08,0
0.079,4.69,0.00,-1.75,11.61,13.27,24.79,57.6,13.28,10.47,11.84,11.84,0.0,1.94,1077.4,11.87,194,1.000,3.87,2.50,0.0,0.0,0.00,-1.05,1.000,2084,2084,78.8,2,2.50,14.04,55,109.53,115.77,3.12,22.82,213,0.0,0.50,3353,289.29,2.60,1.000,40.62,25.79,100.0,29,16.08,0
0.085,5.47,0.00,-1.75,11.64,12.97,24.43,58.0,13.36,10.56,11.83,11.83,0.0,1.95,1077.4,11.83,194,1.000,3.87,2.50,0.0,0.0,0.00,-1.05,1.000,2112,2084,78.8,2,2.50,12.87,55,109.81,105.11,3.30,23.25,213,0.0,0.50,3379,289.31,2.48,1.000,39.84,25.79,100.0,29,16.08,0
0.090,5.47,0.00,-1.62,11.71,12.59,23.79,58.4,13.28,10.57,11.83,11.83,0.0,1.91,1077.2,11.83,194,1.000,3.87,2.50,0.0,0.0,0.00,-1.05,1.000,2044,2084,78.8,2,3.00,13.76,55,108.97,109.83,3.22,23.53,213,0.0,1.00,3404,289.54,2.44,1.000,35.16,25.80,100.0,30,16.08,0
0.130,5.47,0.00,-1.62,11.71,12.22,22.93,59.2,13.28,10.46,11.84,11.84,0.0,1.90,1077.2,11.87,194,1.000,3.87,2.50,0.0,0.0,0.00,-1.05,1.000,2129,2084,78.8,2,3.00,13.76,55,109.01,110.68,3.22,22.81,213,0.0,1.00,3423,290.96,2.77,1.000,35.16,25.98,100.0,30,16.08,0
