Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volt (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Actual (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volt (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.1-17032][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1 91 v361.ptm - Realtime: Stage1 91 v361.ptm]
0.000,-10.16,6.25,-1.12,12.61,0.00,-10.31,0.0,13.36,-10.34,13.74,14.73,0.0,0.16,1053.1,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,7.00,0.35,79,2.26,2.18,0.76,2.88,207,0.0,16.00,816,0.00,5.77,0.000,-36.72,8.62,4.3,40,0.00,0
0.004,-10.16,6.25,-1.12,12.61,0.00,-10.31,0.0,13.36,-10.35,13.74,14.73,0.0,0.16,1053.1,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,389,438,71.8,6,7.00,0.35,79,2.25,2.20,0.76,2.87,207,0.0,16.00,814,0.00,5.76,0.000,-36.72,8.62,4.3,40,0.00,0
0.012,-10.16,6.25,-1.12,12.65,0.00,-10.29,0.0,13.36,-10.34,13.74,14.73,0.0,0.16,1053.1,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,397,438,71.8,6,7.00,0.35,79,2.24,2.18,0.76,2.87,207,0.0,16.00,812,0.00,5.78,0.000,-34.38,8.63,4.3,40,0.00,0
0.016,-10.16,6.25,-1.12,12.63,0.00,-10.29,0.0,13.36,-10.35,13.74,14.73,0.0,0.16,1053.1,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,385,438,71.8,6,7.00,0.35,79,2.23,2.18,0.76,2.87,207,0.0,16.00,810,0.00,5.78,0.000,-34.38,8.64,4.3,40,0.00,0
0.044,-10.16,6.25,-1.00,12.71,0.00,-10.25,0.0,13.52,-10.33,13.74,14.73,0.0,0.16,1053.0,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,390,438,71.8,6,7.00,0.34,79,2.22,2.18,0.76,2.89,207,0.0,16.00,806,0.00,5.81,0.000,-41.41,8.67,4.3,40,0.00,0
0.063,-10.16,6.25,-1.00,12.69,0.00,-10.21,0.0,13.52,-10.34,13.74,14.73,0.0,0.16,1053.0,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,388,438,71.8,6,7.00,0.34,79,2.21,2.18,0.76,2.88,207,0.0,16.00,803,0.00,5.82,0.000,-41.41,8.67,4.3,40,0.00,0
0.096,-10.16,6.25,-1.00,12.71,0.00,-10.21,0.0,13.44,-10.34,13.74,14.73,0.0,0.16,1053.0,14.64,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,381,438,71.8,6,7.00,0.34,79,2.20,2.20,0.76,2.88,207,0.0,16.00,801,0.00,5.84,0.000,-35.16,8.70,4.3,40,0.00,0
0.114,-10.16,6.25,-1.00,12.71,0.00,-10.20,0.0,13.44,-10.34,13.74,14.73,0.0,0.16,1053.0,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,396,438,71.8,6,7.00,0.34,79,2.20,2.18,0.76,2.88,207,0.0,16.00,798,0.00,5.85,0.000,-35.16,8.71,4.3,40,0.00,0
0.161,-10.16,6.25,-1.00,12.73,0.00,-10.20,0.0,13.28,-10.34,13.74,14.73,0.0,0.16,1053.0,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,6,7.00,0.34,79,2.20,2.20,0.76,2.88,207,0.0,16.00,793,0.00,5.84,0.000,-36.72,8.71,4.7,40,0.00,0
0.170,-10.16,6.25,-1.00,12.74,0.00,-10.20,0.0,13.28,-10.34,13.74,14.73,0.0,0.16,1052.9,14.76,190,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,382,438,71.8,6,7.00,0.34,79,2.20,2.20,0.76,2.89,207,0.0,16.00,790,0.00,5.85,0.000,-31.25,8.71,4.7,40,0.00,0
