Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (°),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Knock Sum (count),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),TPS Volts Main (V),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1+BigSF 91 v361 LWG.ptm - Realtime: Stage1+BigSF 91 v361 LWG.ptm]
0.000,3.91,17.97,-0.12,14.47,0.00,-10.30,0.0,13.76,-9.70,14.70,14.73,0.0,0.17,333.4,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,412,438,71.8,0,5.00,0.46,124,0,2.00,2.05,0.68,3.37,199,0.0,16.50,712,0.00,5.14,0.000,-32.03,0.68,8.50,5.1,0,0.00,0
0.010,3.91,17.97,-0.12,14.48,0.00,-10.30,0.0,13.52,-9.71,14.70,14.73,0.0,0.17,333.4,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,411,438,71.8,0,5.50,0.45,124,0,2.00,2.05,0.70,3.37,199,0.0,16.50,709,0.00,5.15,0.000,-30.47,0.68,8.50,5.1,0,0.00,0
0.021,3.91,17.97,-0.12,14.47,0.00,-10.30,0.0,13.52,-9.69,14.70,14.73,0.0,0.17,333.4,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,401,438,71.8,0,5.50,0.45,126,0,2.00,2.07,0.70,3.37,199,0.0,16.50,709,0.00,5.14,0.000,-30.47,0.68,8.50,5.1,0,0.00,0
0.026,3.91,17.97,-0.12,14.46,0.00,-10.30,0.0,13.68,-9.69,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,415,438,71.8,0,5.50,0.45,124,0,2.00,2.07,0.68,3.37,199,0.0,16.50,708,0.00,5.14,0.000,-28.91,0.68,8.50,5.1,0,0.00,0
0.078,3.91,17.97,-0.12,14.47,0.00,-10.30,0.0,13.60,-9.69,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,416,438,71.8,0,5.50,0.45,126,0,2.01,2.10,0.68,3.37,199,0.0,16.50,711,0.00,5.15,0.000,-28.12,0.68,8.50,5.1,0,0.00,0
0.083,3.91,17.97,-0.12,14.45,0.00,-10.30,0.0,13.68,-9.69,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,405,438,71.8,0,5.50,0.45,124,0,2.01,2.12,0.70,3.37,199,0.0,16.50,709,0.00,5.15,0.000,-30.47,0.68,8.50,5.1,0,0.00,0
0.109,3.91,17.97,-0.12,14.44,0.00,-10.30,0.0,13.76,-9.70,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,413,438,71.8,0,5.50,0.45,124,0,2.01,2.07,0.70,3.38,199,0.0,16.50,707,0.00,5.14,0.000,-28.91,0.68,8.50,5.1,0,0.00,0
0.114,3.91,17.97,-0.12,14.45,0.00,-10.30,0.0,13.76,-9.69,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,416,438,71.8,0,5.50,0.45,124,0,2.01,2.05,0.70,3.39,199,0.0,16.50,708,0.00,5.15,0.000,-28.12,0.68,8.50,5.1,0,0.00,0
0.139,3.12,17.97,-0.12,14.43,0.00,-10.30,0.0,13.60,-9.69,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,415,438,71.8,0,5.50,0.45,124,0,2.02,2.05,0.70,3.39,199,0.0,16.50,709,0.00,5.14,0.000,-30.47,0.68,8.50,5.1,0,0.00,0
0.155,3.12,17.97,-0.12,14.45,0.00,-10.30,0.0,13.60,-9.69,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,406,438,71.8,0,5.50,0.45,124,0,2.02,2.07,0.70,3.39,199,0.0,16.50,709,0.00,5.13,0.000,-31.25,0.68,8.50,5.1,0,0.00,0
0.172,3.12,17.97,-0.12,14.44,0.00,-10.30,0.0,13.60,-9.69,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,408,438,71.8,0,5.50,0.45,124,0,2.02,2.07,0.70,3.39,199,0.0,16.50,710,0.00,5.14,0.000,-31.25,0.68,8.50,5.1,0,0.00,0
0.200,3.12,17.97,-0.12,14.42,0.00,-10.30,0.0,13.76,-9.69,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,410,438,71.8,0,5.50,0.45,124,0,2.02,2.07,0.72,3.39,199,0.0,16.50,708,0.00,5.13,0.000,-34.38,0.68,8.50,5.1,0,0.00,0
0.206,3.12,17.97,-0.12,14.43,0.00,-10.30,0.0,13.60,-9.68,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,418,438,71.8,0,5.50,0.45,124,0,2.02,2.03,0.70,3.40,199,0.0,16.50,711,0.00,5.13,0.000,-35.16,0.68,8.50,5.1,0,0.00,0
0.224,3.12,17.97,-0.12,14.41,0.00,-10.30,0.0,13.60,-9.68,14.70,14.73,0.0,0.17,333.3,15.95,190,1.000,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,400,438,71.8,0,5.50,0.46,124,0,2.02,2.02,0.70,3.40,199,0.0,16.50,709,0.00,5.12,0.000,-35.94,0.68,8.50,5.1,0,0.00,0
