Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2 91 v361.ptm - Realtime: Stage2 91 v361.ptm]
0.000,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.00,-9.42,14.70,14.73,0.0,0.21,219.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,414,438,88.6,0,6.50,0.52,113,2.95,2.93,0.90,3.64,178,0.0,18.00,808,0.00,4.83,0.000,-28.91,8.46,5.9,1,0.00,0
0.038,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.16,-9.44,14.70,14.73,0.0,0.21,219.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,421,438,88.6,0,6.50,0.52,113,2.95,2.96,0.90,3.65,178,0.0,18.00,807,0.00,4.85,0.000,-26.56,8.46,5.9,1,0.00,0
0.062,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.16,-9.42,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.94,2.96,0.90,3.63,178,0.0,18.00,806,0.00,4.85,0.000,-28.12,8.47,5.9,1,0.00,0
0.068,0.00,0.00,0.00,14.70,0.00,-10.64,0.0,14.00,-9.43,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,6.50,0.52,113,2.95,2.99,0.90,3.63,178,0.0,18.00,806,0.00,4.84,0.000,-25.78,8.47,5.9,1,0.00,0
0.075,0.00,0.00,0.00,14.70,0.00,-10.63,0.0,14.00,-9.42,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.94,2.96,0.90,3.63,178,0.0,18.00,806,0.00,4.85,0.000,-25.78,8.47,5.9,1,0.00,0
0.079,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.00,-9.44,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,424,438,88.6,0,6.50,0.52,113,2.95,2.96,0.90,3.64,178,0.0,18.00,808,0.00,4.84,0.000,-37.50,8.46,5.9,1,0.00,0
0.111,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,13.92,-9.43,14.70,14.73,0.0,0.21,220.8,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,419,438,88.6,0,6.50,0.52,113,2.94,2.90,0.90,3.64,178,0.0,18.00,808,0.00,4.84,0.000,-31.25,8.46,5.9,1,0.00,0
0.136,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.08,-9.44,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,419,438,88.6,0,6.50,0.52,113,2.94,2.93,0.88,3.62,178,0.0,18.00,808,0.00,4.84,0.000,-30.47,8.46,5.9,1,0.00,0
0.171,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.08,-9.46,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.94,2.90,0.88,3.62,178,0.0,18.00,809,0.00,4.85,0.000,-31.25,8.45,5.9,1,0.00,0
0.193,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.08,-9.47,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,417,438,88.6,0,6.50,0.52,113,2.94,2.90,0.88,3.62,178,0.0,18.00,809,0.00,4.86,0.000,-31.25,8.45,5.9,1,0.00,0
0.205,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,14.00,-9.47,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,423,438,88.6,0,6.50,0.52,113,2.94,2.93,0.88,3.60,179,0.0,18.00,810,0.00,4.85,0.000,-31.25,8.45,5.9,1,0.00,0
0.235,0.00,0.00,0.00,14.70,0.00,-10.66,0.0,14.00,-9.46,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,418,438,88.6,0,6.50,0.52,113,2.94,2.88,0.88,3.60,179,0.0,18.00,810,0.00,4.87,0.000,-30.47,8.45,5.9,1,0.00,0
0.250,0.00,0.00,0.00,14.70,0.00,-10.66,0.0,14.00,-9.48,14.70,14.73,0.0,0.21,221.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,423,438,88.6,0,6.50,0.52,113,2.94,2.90,0.88,3.59,179,0.0,18.00,810,0.00,4.86,0.000,-30.47,8.45,5.9,1,0.00,0
0.277,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,13.92,-9.48,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.93,2.93,0.88,3.58,179,0.0,18.00,810,0.00,4.87,0.000,-30.47,8.45,5.9,1,0.00,0
0.307,0.00,0.00,0.00,14.70,0.00,-10.65,0.0,13.92,-9.48,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,425,438,88.6,0,6.50,0.52,113,2.93,2.88,0.88,3.58,179,0.0,18.00,811,0.00,4.88,0.000,-30.47,8.44,5.9,1,0.00,0
0.343,0.00,0.00,0.00,14.70,0.00,-10.66,0.0,14.08,-9.49,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,410,438,88.6,0,6.50,0.52,113,2.93,2.88,0.88,3.57,179,0.0,18.00,811,0.00,4.87,0.000,-28.91,8.44,5.9,1,0.00,0
0.364,0.00,0.00,0.00,14.70,0.00,-10.66,0.0,14.08,-9.49,14.70,14.73,0.0,0.21,222.7,15.42,178,1.000,0.00,0.00,0.0,0.0,0.00,0.00,1.000,418,438,88.6,0,6.50,0.52,113,2.93,2.93,0.88,3.56,179,0.0,18.00,810,0.00,4.89,0.000,-26.56,8.45,5.9,1,0.00,0
