Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (°),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Knock Sum (count),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),TPS Volts Main (V),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17439][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1+BigSF 91 v400.ptm - Realtime: Stage1+BigSF 91 v400.ptm]
0.000,-1.56,6.25,-1.62,11.80,18.62,27.42,71.0,13.92,9.17,11.96,12.05,0.0,1.86,834.2,11.98,196,0.438,-1.05,3.87,-1.50,0.0,0.0,0.0,0.00,-2.46,1.000,1855,1845,78.8,4,-3.50,9.86,100,9,76.29,81.11,2.94,22.56,207,0.0,-0.50,2436,313.65,4.67,1.000,37.50,3.92,26.82,100.0,44,34.51,0
0.007,-0.78,6.25,-1.62,11.75,18.32,26.85,71.0,13.68,9.13,12.00,12.10,0.0,1.86,834.8,12.02,196,0.438,0.35,3.87,-1.50,0.0,0.0,0.0,0.00,-1.05,1.000,1905,1845,78.8,4,-3.50,9.39,100,9,77.29,86.12,2.94,22.10,207,0.0,-0.50,2448,313.77,4.72,1.000,37.50,3.92,26.90,100.0,44,34.51,0
0.013,-0.78,6.25,-1.62,11.95,18.49,27.37,71.0,13.68,9.21,11.95,12.04,0.0,1.90,834.8,12.02,196,0.438,0.70,3.87,-1.50,0.0,0.0,0.0,0.00,-0.70,1.000,1918,1845,78.8,4,-3.50,9.39,100,9,77.46,76.30,2.94,22.70,207,0.0,-1.00,2452,313.77,4.65,1.000,37.50,3.92,26.91,100.0,44,34.51,0
0.049,-0.78,6.25,-1.50,11.95,18.29,27.33,71.0,13.92,9.24,11.94,12.04,0.0,1.87,834.8,11.95,196,0.438,0.70,3.87,0.50,0.0,0.0,0.0,0.00,-0.70,1.000,1841,1845,78.8,4,-2.00,9.41,100,9,77.08,75.91,2.74,22.27,207,0.0,-0.50,2461,313.68,4.65,1.000,37.50,3.92,26.94,100.0,44,34.51,0
0.055,-0.78,6.25,-1.38,12.11,18.33,27.34,71.0,13.84,9.27,11.94,12.04,0.0,1.89,834.8,11.95,196,0.438,0.70,3.87,0.50,0.0,0.0,0.0,0.00,-0.70,1.000,1937,1845,78.8,4,-1.50,9.45,100,9,77.84,76.70,2.84,22.71,207,0.0,-1.00,2461,313.68,4.66,1.000,43.75,3.92,26.94,100.0,45,34.51,0
0.081,-0.78,6.25,-1.38,11.99,18.44,27.36,71.0,13.84,9.31,11.93,12.04,0.0,1.89,834.8,11.91,196,0.438,0.70,3.87,0.50,0.0,0.0,0.0,0.00,-0.70,1.000,1863,1845,78.8,4,-1.50,9.45,100,9,77.88,74.72,2.84,22.41,207,0.0,-1.00,2452,313.66,4.54,1.000,43.75,3.92,26.91,100.0,45,34.51,0
0.091,0.00,6.25,-1.50,12.11,18.41,27.36,71.0,13.92,9.30,11.94,12.04,0.0,1.89,834.8,11.95,196,0.438,0.70,3.87,0.50,0.0,0.0,0.0,0.00,-0.70,1.000,1861,1845,78.8,4,-1.50,9.94,100,9,78.10,88.09,2.94,22.27,207,0.0,-1.00,2455,313.68,4.56,1.000,44.53,3.92,26.92,100.0,45,34.51,0
0.097,0.78,6.25,-1.50,11.95,18.22,27.31,71.0,13.92,9.35,11.94,12.04,0.0,1.90,835.4,11.95,196,0.438,0.70,3.87,0.50,0.0,0.0,0.0,0.00,-0.70,1.000,1727,1845,78.8,4,-2.00,9.99,100,9,77.91,66.85,2.90,22.35,207,0.0,-1.00,2477,313.91,4.59,1.000,35.94,3.92,26.96,100.0,45,34.90,0
0.123,-1.56,6.25,-1.62,11.69,18.15,27.29,71.0,13.84,9.40,11.94,12.04,0.0,1.91,835.4,11.95,196,0.438,0.70,3.87,0.50,0.0,0.0,0.0,0.00,-0.70,1.000,1801,1845,78.8,4,-2.00,10.08,100,9,79.48,82.78,2.78,22.38,207,0.0,-1.00,2490,313.91,4.58,1.000,35.94,3.92,27.04,100.0,45,34.90,0
0.129,-1.56,6.25,-1.62,11.77,18.25,27.31,71.0,13.84,9.35,11.94,12.04,0.0,1.93,835.4,11.95,196,0.438,0.70,3.87,0.50,0.0,0.0,0.0,0.00,-0.70,1.000,1808,1845,78.8,4,-2.00,9.54,100,9,79.37,71.51,2.88,22.41,208,0.0,-1.00,2483,313.69,4.62,1.000,35.16,3.92,27.03,100.0,45,34.90,0
