Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (°),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Knock Sum (count),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),TPS Volts Main (V),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17439][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: _Stage 1 19psi.ptm - Realtime: _Stage 1 19psi.ptm]
0.000,7.81,7.81,0.00,14.70,0.00,-10.30,0.0,13.52,-9.84,14.51,14.73,0.0,0.17,894.3,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,4.00,0.47,84,3,2.20,2.24,0.72,3.23,187,0.0,16.50,738,0.00,5.48,0.000,-33.59,0.66,8.71,4.7,0,0.00,0
0.086,7.81,7.81,0.00,14.69,0.00,-10.30,0.0,13.52,-9.83,14.51,14.73,0.0,0.17,894.3,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,4.00,0.47,84,3,2.20,2.28,0.72,3.23,187,0.0,16.50,738,0.00,5.48,0.000,-33.59,0.66,8.71,5.1,0,0.00,0
0.121,7.81,7.81,0.00,14.69,0.00,-10.30,0.0,13.52,-9.85,14.51,14.73,0.0,0.17,894.3,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,388,438,71.8,0,4.00,0.47,84,3,2.20,2.24,0.72,3.22,187,0.0,16.50,738,0.00,5.50,0.000,-33.59,0.66,8.71,5.1,0,0.00,0
0.134,7.81,7.81,0.00,14.66,0.00,-10.30,0.0,13.60,-9.85,14.51,14.73,0.0,0.17,893.9,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,373,438,71.8,0,4.00,0.47,84,3,2.20,2.17,0.74,3.22,187,0.0,16.50,738,0.00,5.50,0.000,-33.59,0.66,8.71,4.7,0,0.00,0
0.139,7.81,7.81,0.00,14.65,0.00,-10.30,0.0,13.60,-9.84,14.51,14.73,0.0,0.17,893.9,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,393,438,71.8,0,4.00,0.47,84,3,2.20,2.26,0.72,3.22,187,0.0,16.50,738,0.00,5.49,0.000,-34.38,0.66,8.71,4.7,0,0.00,0
0.166,7.81,7.81,0.00,14.62,0.00,-10.30,0.0,13.52,-9.86,14.51,14.73,0.0,0.17,893.9,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,382,438,71.8,0,4.50,0.47,84,3,2.21,2.28,0.74,3.22,187,0.0,16.50,738,0.00,5.51,0.000,-34.38,0.66,8.71,4.7,0,0.00,0
0.173,7.81,7.81,0.00,14.60,0.00,-10.30,0.0,13.68,-9.86,14.51,14.73,0.0,0.17,893.4,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,0,4.00,0.47,84,3,2.21,2.28,0.74,3.21,187,0.0,16.50,735,0.00,5.51,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.178,7.81,7.81,0.00,14.57,0.00,-10.30,0.0,13.68,-9.86,14.51,14.73,0.0,0.17,893.4,15.75,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,377,438,71.8,0,4.00,0.47,84,3,2.21,2.24,0.72,3.21,187,0.0,16.50,733,0.00,5.52,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.205,7.81,7.81,0.00,14.56,0.00,-10.30,0.0,13.52,-9.86,14.53,14.73,0.0,0.17,893.4,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,397,438,71.8,0,4.00,0.47,84,3,2.21,2.31,0.72,3.21,187,0.0,16.50,732,0.00,5.51,0.000,-35.94,0.66,8.71,5.1,0,0.00,0
0.213,7.81,7.81,0.00,14.55,0.00,-10.40,0.0,13.52,-9.86,14.57,14.73,0.0,0.18,893.4,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,383,438,71.8,0,4.00,0.47,84,3,2.21,2.33,0.74,3.20,187,0.0,17.00,730,0.00,5.51,0.000,-33.59,0.66,8.71,5.1,0,0.00,0
0.218,7.03,7.81,0.00,14.50,0.00,-10.40,0.0,13.68,-9.86,14.63,14.73,0.0,0.18,893.0,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,380,438,71.8,0,4.00,0.47,84,3,2.21,2.28,0.74,3.23,187,0.0,17.00,730,0.00,5.51,0.000,-31.25,0.66,8.71,5.1,0,0.00,0
0.250,7.03,7.81,-0.12,14.48,0.00,-10.30,0.0,13.44,-9.86,14.67,14.73,0.0,0.18,893.0,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,378,438,71.8,0,4.00,0.47,84,3,2.21,2.26,0.74,3.22,187,0.0,17.00,732,0.00,5.51,0.000,-31.25,0.66,8.71,5.1,0,0.00,0
0.266,7.03,7.81,-0.12,14.48,0.00,-10.40,0.0,13.44,-9.85,14.71,14.73,0.0,0.18,893.0,15.95,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,385,438,71.8,0,4.00,0.47,84,3,2.21,2.31,0.74,3.22,187,0.0,17.00,732,0.00,5.51,0.000,-31.25,0.66,8.71,5.1,0,0.00,0
0.294,6.25,7.81,-0.12,14.44,0.00,-10.40,0.0,13.68,-9.85,14.71,14.73,0.0,0.18,892.6,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,0,4.00,0.47,84,3,2.22,2.28,0.74,3.21,187,0.0,17.00,733,0.00,5.51,0.000,-30.47,0.66,8.71,5.1,0,0.00,0
0.299,6.25,7.81,-0.12,14.41,0.00,-10.40,0.0,13.60,-9.85,14.71,14.73,0.0,0.18,892.6,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,397,438,71.8,0,4.00,0.47,84,3,2.22,2.33,0.74,3.21,187,0.0,17.00,731,0.00,5.51,0.000,-32.81,0.66,8.71,4.7,0,0.00,0
0.325,6.25,7.81,-0.12,14.39,0.00,-10.40,0.0,13.52,-9.86,14.71,14.73,0.0,0.18,892.6,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,392,438,71.8,0,4.00,0.47,84,3,2.22,2.31,0.76,3.22,187,0.0,17.00,731,0.00,5.51,0.000,-32.81,0.66,8.71,5.1,0,0.00,0
0.351,6.25,7.81,-0.12,14.38,0.00,-10.40,0.0,13.52,-9.85,14.71,14.73,0.0,0.18,892.6,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,388,438,71.8,0,4.00,0.47,84,3,2.22,2.31,0.74,3.22,187,0.0,17.00,731,0.00,5.52,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.396,6.25,7.81,-0.12,14.34,0.00,-10.40,0.0,13.68,-9.86,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,389,438,71.8,0,4.00,0.47,84,3,2.22,2.24,0.74,3.22,187,0.0,17.00,730,0.00,5.51,0.000,-35.16,0.66,8.71,4.7,0,0.00,0
0.433,5.47,7.81,-0.12,14.33,0.00,-10.40,0.0,13.52,-9.86,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,393,438,71.8,0,4.00,0.47,84,3,2.22,2.31,0.74,3.21,187,0.0,17.00,729,0.00,5.52,0.000,-35.94,0.66,8.71,5.1,0,0.00,0
0.472,5.47,7.81,-0.12,14.32,0.00,-10.40,0.0,13.52,-9.86,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,381,438,71.8,0,4.50,0.47,84,3,2.22,2.24,0.74,3.22,187,0.0,17.00,729,0.00,5.51,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.498,5.47,7.81,-0.12,14.28,0.00,-10.40,0.0,13.68,-9.86,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,4.50,0.47,84,3,2.22,2.28,0.74,3.23,187,0.0,17.00,727,0.00,5.50,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
0.545,5.47,7.81,-0.12,14.29,0.00,-10.40,0.0,13.68,-9.84,14.71,14.73,0.0,0.18,892.2,16.01,194,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,386,438,71.8,0,4.50,0.47,84,3,2.22,2.28,0.74,3.23,187,0.0,17.00,727,0.00,5.49,0.000,-34.38,0.66,8.71,5.1,0,0.00,0
