Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.0-17408][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage2+BigSF 91 v361.ptm - Realtime: Stage2+BigSF 91 v361.ptm]
0.000,2.34,0.00,0.00,14.67,32.07,0.93,16.9,13.60,-0.82,14.66,14.66,0.0,0.78,808.9,14.70,194,0.875,2.46,2.00,18.0,1.0,0.00,0.00,1.000,1470,1447,71.8,3,10.50,2.40,70,24.38,24.05,1.86,12.19,205,0.0,8.50,1879,126.78,0.95,0.000,28.91,13.21,20.1,25,0.00,0
0.026,2.34,0.00,0.00,14.69,32.08,0.92,16.9,13.68,-0.83,14.66,14.66,0.0,0.78,808.9,14.70,194,0.875,2.46,2.00,18.0,1.0,0.00,0.00,1.000,1458,1447,71.8,3,10.50,2.40,70,24.39,24.70,1.86,12.22,205,0.0,8.50,1878,126.80,0.99,0.000,21.09,13.23,20.1,25,0.00,0
0.063,2.34,0.00,0.00,14.69,32.16,0.84,16.9,13.60,-0.85,14.66,14.66,0.0,0.78,809.5,14.70,194,0.875,2.46,2.00,18.0,1.0,0.00,0.00,1.000,1450,1447,71.8,3,10.50,2.82,70,24.47,23.89,1.84,12.19,205,0.0,8.50,1890,127.00,0.99,0.000,29.69,13.20,20.1,25,0.00,0
0.088,3.12,0.00,0.00,14.69,33.13,0.63,16.9,13.68,-0.81,14.66,14.66,0.0,0.76,809.5,14.70,194,0.875,2.46,2.00,20.0,1.0,0.00,0.00,1.000,1470,1447,71.8,3,11.50,2.83,70,24.39,24.70,1.80,12.18,205,0.0,9.00,1895,126.51,0.92,0.000,26.56,13.15,20.1,25,0.00,0
0.093,3.12,0.00,0.00,14.70,33.13,0.64,16.9,13.68,-0.84,14.66,14.66,0.0,0.76,809.5,14.70,194,0.875,2.46,2.00,20.0,1.0,0.00,0.00,1.000,1441,1447,71.8,3,11.50,2.83,70,24.27,24.05,1.80,12.23,205,0.0,9.00,1895,126.89,0.96,0.000,26.56,13.18,20.1,25,0.00,0
0.119,2.34,0.00,0.00,14.72,33.14,0.63,16.9,13.36,-0.84,14.76,14.66,0.0,0.76,809.5,14.82,194,0.875,2.46,2.00,20.0,1.0,0.00,0.00,1.000,1440,1447,71.8,3,11.50,2.43,70,24.32,25.52,1.86,12.23,205,0.0,9.00,1895,127.26,0.99,0.000,31.25,13.20,20.1,25,0.00,0
0.150,2.34,0.00,0.00,14.70,33.14,0.63,16.9,13.36,-0.84,14.76,14.66,0.0,0.76,809.5,14.82,194,0.875,2.46,2.00,20.0,1.0,0.00,0.00,1.000,1447,1447,71.8,3,11.50,2.43,70,24.44,24.53,1.86,12.31,205,0.0,9.00,1897,127.22,0.99,0.000,31.25,13.23,20.1,25,0.00,0
0.155,2.34,0.00,0.00,14.71,33.17,0.60,16.9,13.52,-0.84,14.76,14.66,0.0,0.76,810.0,14.82,194,0.875,2.46,2.00,20.0,1.0,0.00,0.00,1.000,1426,1447,71.8,3,11.50,2.43,70,24.43,23.40,1.86,12.21,205,0.0,9.00,1899,127.55,1.00,0.000,30.47,13.21,20.1,25,0.00,0
0.197,2.34,0.00,0.00,14.71,33.21,0.57,16.9,13.52,-0.82,14.76,14.65,0.0,0.76,810.0,14.82,194,0.875,2.46,2.00,20.0,1.0,0.00,0.00,1.000,1501,1447,71.8,3,11.50,2.43,70,24.53,23.40,1.86,12.25,205,0.0,9.00,1906,127.44,0.96,0.000,30.47,13.19,20.1,25,0.00,0
0.219,2.34,0.00,0.00,14.71,33.23,0.56,16.9,13.36,-0.81,14.76,14.65,0.0,0.76,810.0,14.76,194,0.875,2.46,2.00,20.0,1.0,0.00,0.00,1.000,1461,1447,71.8,3,11.50,2.44,70,24.48,24.86,1.84,12.24,205,0.0,9.00,1908,127.40,0.93,0.000,29.69,13.18,20.5,26,0.00,0
