Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Abs Ext (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 01.ptm - Realtime: 2016 WRX 91 - 01.ptm]
0.000,-0.78,-10.16,14.66,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,418,438,71.8,0,7.50,0.39,115,118,0,0,0,0,22.0,2.78,2.67,0.82,3.23,209,905,0.00,0,0,0,0,66.49,0.000,2.84,5.5,0.00,0
0.004,-0.78,-10.16,14.66,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,419,438,71.8,0,8.00,0.38,115,118,0,0,0,0,22.0,2.77,2.76,0.82,3.23,209,902,0.00,0,0,0,0,66.49,0.000,2.83,5.5,0.00,0
0.047,-0.78,-10.16,14.67,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,399,438,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.76,2.45,0.78,3.23,209,904,0.00,0,0,0,0,66.50,0.000,2.84,5.5,0.00,0
0.065,-0.78,-10.16,14.67,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,401,438,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.76,2.61,0.80,3.24,209,904,0.00,0,0,0,0,66.49,0.000,2.84,5.5,0.00,0
0.072,-0.78,-10.16,14.68,0,0,-1,-1,0.0,13.05,-9.84,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,415,438,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.76,2.70,0.80,3.22,209,906,0.00,0,0,0,0,66.50,0.000,2.84,5.5,0.00,0
0.103,-0.78,-10.16,14.68,0,0,-1,-1,0.0,13.05,-9.85,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,415,438,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.77,2.73,0.82,3.21,209,909,0.00,0,0,0,0,66.49,0.000,2.85,5.5,0.00,0
0.121,-0.78,-10.16,14.68,0,0,-1,-1,0.0,13.05,-9.85,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,402,438,71.8,0,7.50,0.39,115,118,0,0,0,0,22.0,2.77,2.76,0.82,3.22,209,910,0.00,0,0,0,0,66.50,0.000,2.85,5.5,0.00,0
0.137,-0.78,-10.16,14.70,0,0,-1,-1,1.6,13.05,-9.86,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,407,438,71.8,0,7.50,0.39,115,118,0,0,0,0,22.0,2.77,2.76,0.84,3.20,209,911,0.00,0,0,0,0,66.49,0.000,2.85,5.5,0.00,0
0.162,-0.78,-7.81,14.69,0,0,-1,-1,10.6,13.05,-9.85,14.70,0.18,on,14.70,196,1.000,0.0,0.00,0.00,414,531,71.8,0,8.00,0.39,115,118,0,0,0,0,22.0,2.82,3.09,0.82,3.19,209,911,32.74,0,0,0,0,66.50,0.000,17.98,9.8,0.00,0
0.181,-0.78,-3.91,14.71,0,0,-1,-1,12.9,13.05,-9.46,14.70,0.22,on,14.70,196,1.000,0.0,0.00,0.00,445,478,71.8,0,8.50,0.39,115,118,0,0,1,0,22.0,3.45,10.22,1.02,3.97,209,912,39.55,0,0,0,0,66.49,0.000,22.62,13.0,0.00,0
0.185,-0.78,-0.78,14.71,0,0,-1,-1,14.5,13.05,-9.01,14.70,0.25,on,14.70,196,1.000,0.0,0.00,0.00,450,478,71.8,0,9.00,0.39,115,118,0,0,1,0,22.0,3.97,13.39,1.36,4.77,209,916,44.83,0,0,0,0,66.50,0.000,24.13,13.8,0.00,0
0.203,-0.78,2.34,14.71,0,0,-1,-1,15.7,13.05,-8.58,14.70,0.28,on,14.70,196,1.000,0.0,0.00,0.00,455,478,71.8,0,9.50,0.98,115,118,0,0,1,0,22.0,4.51,15.53,1.54,5.66,209,919,48.71,0,0,0,0,66.50,0.000,28.06,16.5,0.00,0
0.251,-0.78,4.69,14.73,0,0,-1,-2,19.2,13.05,-7.69,14.70,0.37,on,14.70,196,1.000,0.0,0.00,0.00,464,597,71.8,0,11.00,1.00,115,118,0,0,0,0,22.0,5.99,21.01,1.74,6.71,209,968,59.23,0,0,0,0,66.50,0.000,30.88,18.5,0.00,0
0.266,0.00,6.25,14.72,0,0,-2,-2,21.6,13.05,-5.95,14.70,0.46,on,14.70,196,1.000,0.0,0.00,0.00,539,849,71.8,0,11.50,1.06,115,118,0,0,0,0,22.0,7.90,30.41,1.90,9.41,209,1004,66.05,0,0,0,0,66.50,0.000,31.68,22.0,0.00,0
0.301,0.00,7.81,14.75,0,0,-2,-3,22.7,13.05,-4.80,14.70,0.52,on,14.70,196,1.000,0.0,0.00,0.00,688,1048,71.8,0,11.00,1.57,115,118,0,0,0,0,22.0,10.12,30.20,2.06,10.62,209,1079,69.16,0,0,0,0,66.50,0.000,32.17,25.6,0.00,0
0.316,0.00,7.81,14.76,0,0,-2,-3,23.1,13.05,-3.96,14.70,0.59,on,14.70,196,1.000,0.0,0.00,0.00,852,1141,71.8,0,11.00,1.57,115,118,1,0,0,0,22.0,10.92,28.63,2.06,11.41,209,1095,71.11,0,0,0,0,66.50,0.000,32.38,25.6,0.00,0
0.362,0.00,8.59,14.84,0,0,-4,-5,24.3,13.05,-3.02,14.70,0.63,on,14.70,196,1.000,0.0,0.00,0.00,946,1234,71.8,0,11.00,1.69,115,118,1,0,0,0,22.0,12.11,26.34,1.96,11.92,209,1147,74.61,0,0,0,0,66.50,0.000,32.63,26.4,0.39,0
0.407,0.00,9.38,15.30,0,0,-6,-6,25.9,13.05,-2.04,14.70,0.65,on,14.70,196,1.000,0.0,0.00,0.00,1229,1340,71.8,0,12.00,1.82,115,118,1,10,0,10,22.0,15.27,21.63,1.88,12.10,209,1352,79.49,0,0,0,0,66.50,0.000,33.12,28.3,5.10,0
0.432,2.34,10.16,15.87,1,0,-8,-8,26.3,13.05,-1.56,14.70,0.68,on,14.70,196,1.000,0.0,0.00,0.00,1307,1340,71.8,0,12.50,2.06,115,120,20,10,22,10,22.0,16.48,20.86,1.80,12.15,209,1456,80.66,0,0,0,0,66.50,0.000,33.35,28.0,5.49,0
0.459,4.69,10.94,16.25,2,0,-11,-11,26.7,13.05,-1.38,14.70,0.69,on,14.70,196,1.000,0.0,0.00,0.00,1356,1407,71.8,0,13.00,2.29,115,120,20,100,22,10,22.0,17.82,20.23,1.74,12.17,209,1531,81.44,0,0,0,0,66.51,0.000,33.38,28.0,5.49,0
0.511,4.69,10.94,16.74,2,0,-11,-11,27.1,13.05,-1.23,14.70,0.68,on,14.70,196,1.000,0.0,0.00,0.00,1349,1420,71.8,0,13.00,2.29,115,120,20,100,22,90,22.0,19.46,20.39,1.74,12.15,209,1654,82.21,0,0,0,0,66.51,0.000,33.40,28.0,5.49,0
0.517,6.25,10.94,16.88,3,1,-14,-15,27.1,13.05,-1.16,14.70,0.68,on,14.70,196,1.000,0.0,0.00,0.00,1414,1420,71.8,0,13.50,2.51,115,120,162,100,220,90,22.0,20.85,21.17,1.76,11.98,209,1749,82.21,0,0,0,0,66.51,0.000,33.42,28.0,5.49,0
0.569,7.03,10.94,16.88,5,1,-16,-16,27.1,13.05,-1.13,14.70,0.70,on,14.70,196,1.000,0.0,0.00,0.00,1419,1420,71.8,0,13.50,2.78,115,120,607,412,220,510,22.0,22.63,21.48,1.72,11.96,209,1943,82.81,0,0,0,0,66.52,0.000,33.44,28.0,5.88,0
0.575,7.03,10.94,16.63,6,1,-17,-17,27.5,13.05,-1.15,14.70,0.72,on,14.70,196,1.000,0.0,0.00,0.00,1371,1420,71.8,0,13.50,2.99,115,120,607,412,368,510,22.0,24.32,23.72,1.88,11.90,209,2003,83.19,0,0,0,0,66.53,0.000,33.45,28.3,5.88,0
0.607,7.03,10.94,16.31,6,1,-17,-17,27.1,13.05,-1.14,14.70,0.72,on,14.70,196,1.000,0.0,0.00,0.00,1471,1420,71.8,0,13.50,2.99,115,120,607,742,368,498,22.0,26.09,25.68,1.88,11.92,209,2133,83.00,0,0,0,0,66.53,0.000,33.45,28.3,5.88,0
0.641,6.25,10.94,15.72,7,2,-18,-18,27.1,13.05,-1.20,14.70,0.72,on,14.70,196,1.000,0.0,0.00,0.00,1475,1500,71.8,0,13.50,3.21,115,120,410,412,636,498,22.0,26.97,25.68,1.88,11.78,209,2210,83.00,0,0,0,0,66.54,0.000,33.45,28.7,5.88,0
0.673,4.69,10.94,15.44,8,3,-17,-17,27.1,13.05,-1.23,14.70,0.72,on,14.70,196,1.000,0.0,0.00,0.00,1476,1500,71.8,0,13.50,3.37,115,118,546,412,636,313,22.0,27.87,25.35,1.90,11.72,209,2282,83.00,0,0,0,0,66.54,0.000,33.45,28.7,5.88,0
0.710,4.69,10.94,14.99,8,3,-17,-17,27.1,13.05,-1.32,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1505,1500,71.8,0,13.50,3.37,115,118,546,510,790,313,22.0,28.24,26.67,1.90,11.62,209,2331,83.00,0,0,0,0,66.55,0.000,33.45,28.7,5.88,0
0.740,1.56,10.94,14.57,9,5,-13,-17,27.1,13.05,-1.38,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1414,1500,71.8,0,13.50,3.56,115,118,665,510,551,564,22.0,28.96,28.31,1.98,11.49,209,2381,82.61,0,0,0,0,66.56,0.000,33.43,28.0,5.88,0
0.755,1.56,10.94,14.44,9,5,-13,-17,27.1,13.05,-1.39,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1433,1500,71.8,0,13.50,3.56,115,118,333,620,551,490,22.0,29.17,29.13,1.98,11.51,209,2402,82.61,0,0,0,0,66.57,0.000,33.43,28.0,5.88,0
0.788,0.78,10.94,14.35,9,5,-10,-16,27.1,13.05,-1.46,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1485,1500,71.8,0,13.50,3.59,115,118,333,357,648,490,22.0,29.22,31.24,1.98,11.54,209,2409,82.41,0,0,0,0,66.57,0.000,33.42,28.0,5.88,0
0.816,0.78,10.94,14.32,9,6,-7,-15,27.1,13.05,-1.43,14.70,0.73,on,14.70,196,1.000,0.0,0.00,0.00,1435,1500,71.8,0,13.50,3.60,115,118,291,357,648,458,22.0,29.50,31.86,2.04,11.50,209,2409,82.41,0,0,0,0,66.58,0.000,33.42,28.0,5.88,0
0.847,0.78,10.94,14.27,9,6,-7,-15,27.1,13.05,-1.46,14.70,0.74,on,14.70,196,1.000,0.0,0.00,0.00,1465,1500,71.8,0,13.50,3.60,115,118,291,811,816,458,22.0,29.58,31.86,2.04,11.54,209,2404,82.61,0,0,0,0,66.58,0.000,33.42,28.0,5.88,0
0.870,0.00,10.94,14.30,10,7,-4,-14,27.1,13.05,-1.42,14.70,0.74,on,14.70,196,1.000,0.0,0.00,0.00,1519,1500,71.8,0,13.50,3.59,115,118,677,811,902,383,22.0,29.71,29.45,2.04,11.58,209,2401,82.81,0,0,0,0,66.59,0.000,33.44,28.0,5.88,0
0.931,0.00,10.94,14.35,11,7,-3,-13,27.1,13.05,-1.39,14.70,0.74,on,14.70,196,1.000,0.0,0.00,0.00,1498,1500,71.8,0,13.00,3.57,115,118,677,496,902,346,22.0,29.72,31.24,2.08,11.62,209,2391,83.00,0,0,0,0,66.60,0.000,33.45,28.3,6.27,0
