Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 02.ptm - Realtime: 2016 WRX 91 - 02.ptm]
0.000,0.00,7.81,22.20,0,0,0,0,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,499,438,71.8,3,11.00,0.41,95,104,3,3,3,3,22.0,2.12,2.42,0.74,1.93,203,1908,0.00,0,0,0,0,7.57,1.000,-7.80,4.7,0.00,0
0.053,0.00,7.81,22.20,0,0,0,0,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,499,438,71.8,3,11.00,0.41,95,104,5,3,3,3,22.0,2.12,2.42,0.76,1.93,203,1907,0.00,0,0,0,0,7.57,1.000,-7.80,4.7,0.00,0
0.093,0.00,7.81,22.20,0,0,0,0,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,499,438,71.8,3,11.00,0.41,95,104,5,3,4,3,22.0,2.13,2.35,0.76,1.93,203,1908,0.00,0,0,0,0,7.56,1.000,-7.80,4.7,0.00,0
0.118,0.00,7.81,22.20,0,0,0,0,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,500,438,71.8,3,11.00,0.41,95,104,5,6,4,3,22.0,2.13,2.28,0.72,1.93,203,1907,0.00,0,0,0,0,7.57,1.000,-7.81,4.7,0.00,0
0.123,0.00,7.81,22.20,0,0,0,0,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,504,438,71.8,3,11.00,0.41,95,104,4,3,5,2,22.0,2.13,2.23,0.72,1.93,203,1898,0.00,0,0,0,0,7.57,1.000,-7.83,4.7,0.00,0
0.168,0.00,7.81,22.20,0,0,0,0,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,504,438,71.8,3,11.00,0.40,95,104,4,3,5,2,22.0,2.13,2.23,0.72,1.93,203,1894,0.00,0,0,0,0,7.57,1.000,-7.83,4.3,0.00,0
0.182,0.00,7.81,22.20,0,0,0,-1,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,504,438,71.8,3,11.00,0.40,95,104,3,6,5,3,22.0,2.11,2.06,0.68,1.93,203,1889,0.00,0,0,0,0,7.57,1.000,-7.84,4.3,0.00,0
0.211,0.00,7.81,22.20,0,0,0,-1,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,504,438,71.8,3,11.00,0.40,95,104,2,6,3,3,22.0,2.11,2.03,0.68,1.93,203,1890,0.00,0,0,0,0,7.57,1.000,-7.85,4.3,0.00,0
0.215,0.00,7.81,22.20,0,0,0,0,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,504,438,71.8,3,10.50,0.40,95,104,4,3,3,2,22.0,2.09,2.16,0.70,1.93,203,1883,0.00,0,0,0,0,7.57,1.000,-7.86,4.3,0.00,0
0.249,0.00,7.81,22.20,0,0,0,0,0.0,13.05,-11.13,14.70,0.07,off,12.26,190,1.000,0.0,0.00,0.00,508,438,71.8,3,10.50,0.40,95,104,4,3,5,3,22.0,2.08,2.23,0.70,1.93,203,1878,0.00,0,0,0,0,7.57,1.000,-7.87,4.3,0.00,0
