Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 04b.ptm - Realtime: 2016 WRX 91 - 04b.ptm]
0.000,0.00,3.12,13.35,0,0,0,0,0.0,13.05,-10.81,14.70,0.14,off,14.70,190,1.000,0.0,0.00,0.00,568,438,71.8,3,16.00,1.23,109,115,3,3,6,3,22.0,4.37,2.59,0.80,2.20,212,1916,0.00,0,0,0,0,66.57,0.000,-7.81,5.5,0.00,0
0.016,0.00,3.12,13.50,0,0,0,0,0.0,13.05,-10.84,14.70,0.13,off,14.70,190,1.000,0.0,0.00,0.00,573,438,71.8,3,16.00,1.22,109,115,4,4,5,3,22.0,4.18,2.59,0.78,2.19,212,1901,0.00,0,0,0,0,66.57,0.000,-7.85,5.5,0.00,0
0.027,0.00,3.12,13.67,0,0,0,0,0.0,13.05,-10.87,14.70,0.13,off,14.70,190,1.000,0.0,0.00,0.00,573,438,71.8,3,16.00,1.22,109,115,5,4,5,3,22.0,4.07,2.68,0.78,2.13,212,1902,0.00,0,0,0,0,66.57,0.000,-7.87,5.5,0.00,0
0.036,0.00,3.12,13.87,0,0,0,0,0.0,13.05,-10.90,14.70,0.12,off,14.70,190,1.000,0.0,0.00,0.00,579,438,71.8,3,16.00,1.22,109,115,4,4,7,3,22.0,3.96,2.80,0.84,2.16,212,1908,0.00,0,0,0,0,66.56,0.000,-7.85,5.5,0.00,0
0.040,0.00,3.12,14.01,0,0,0,0,0.0,13.05,-10.91,14.70,0.12,off,14.70,190,1.000,0.0,0.00,0.00,579,438,71.8,3,16.00,1.22,109,115,4,0,7,4,22.0,3.89,2.77,0.82,2.12,212,1902,0.00,0,0,0,0,66.56,0.000,-7.86,5.5,0.00,0
0.068,0.00,3.12,14.15,0,0,0,-3,0.0,13.05,-10.91,14.70,0.12,off,14.70,190,1.000,0.0,0.00,0.00,584,438,71.8,3,16.00,1.21,109,115,5,0,5,4,22.0,3.81,2.87,0.86,2.14,212,1889,0.00,0,0,0,0,66.56,0.000,-7.87,5.5,0.00,0
0.103,0.00,3.12,14.28,0,0,0,-3,0.0,13.05,-10.92,14.70,0.12,off,14.70,190,1.000,0.0,0.00,0.00,584,438,71.8,3,16.00,1.21,109,115,5,3,5,3,22.0,3.76,2.80,0.86,2.12,212,1888,0.00,0,0,0,0,66.56,0.000,-7.89,5.5,0.00,0
0.135,0.00,3.12,14.74,0,0,0,0,0.0,13.05,-10.96,14.70,0.12,off,14.70,190,1.000,0.0,0.00,0.00,589,438,71.8,3,16.00,1.21,109,117,4,3,4,7,22.0,3.64,2.44,0.78,2.08,212,1888,0.00,0,0,0,0,66.57,0.000,-7.89,5.5,0.00,0
0.140,0.00,3.12,15.16,0,0,0,0,0.0,13.05,-10.96,14.70,0.11,off,14.70,190,1.000,0.0,0.00,0.00,595,438,71.8,3,16.00,1.21,109,117,4,4,4,3,22.0,3.59,2.40,0.78,2.08,212,1884,0.00,0,0,0,0,66.57,0.000,-7.89,5.5,0.00,0
0.167,0.00,3.12,15.72,0,0,0,0,0.0,13.05,-10.95,14.70,0.11,off,14.70,190,1.000,0.0,0.00,0.00,595,438,71.8,3,16.00,1.21,109,117,3,4,4,3,22.0,3.57,2.56,0.78,2.08,212,1882,0.00,0,0,0,0,66.56,0.000,-7.90,5.5,0.00,0
