Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS Exh Right (°),AVCS In Left (°),AVCS In Right (°),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load Ext (g/rev),Closed Loop Sw (on/off),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),KS Noise Cyl 1 (raw),KS Noise Cyl 2 (raw),KS Noise Cyl 3 (raw),KS Noise Cyl 4 (raw),Limits Boost Table Base Rel SL Ext (psi),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),Roughness Cyl 1 (count),Roughness Cyl 2 (count),Roughness Cyl 3 (count),Roughness Cyl 4 (count),Sns Only TGV R (raw),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-18474][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: 2016 WRX 91 - 08.ptm - Realtime: 2016 WRX 91 - 08.ptm]"
0.000,0.00,0.00,13.86,0,0,-1,0,0.0,12.91,-10.68,14.70,0.13,off,14.70,192,1.000,0.0,0.00,0.00,875,438,71.8,3,16.00,0.42,104,108,4,3,8,3,22.0,4.11,1.92,0.68,2.15,216,1966,1.33,0,0,0,0,66.36,0.000,-6.89,4.7,0.00,0
0.019,0.00,0.00,13.85,0,0,0,0,0.0,12.91,-10.77,14.70,0.12,off,14.70,192,1.000,0.0,0.00,0.00,851,438,71.8,3,16.50,0.42,104,108,4,2,8,6,22.0,3.89,1.89,0.66,2.07,216,1954,0.64,0,0,0,0,66.37,0.000,-7.15,4.7,0.00,0
0.038,0.00,0.00,13.75,0,0,0,0,15.7,12.91,-10.82,14.70,0.12,off,14.70,192,1.000,0.0,0.00,0.00,841,438,71.8,3,16.00,0.41,104,108,4,1,5,4,22.0,3.71,1.94,0.66,2.07,216,1931,26.58,0,0,0,0,66.37,0.000,4.78,9.4,0.00,0
0.062,0.00,0.00,13.70,0,0,0,0,54.1,12.91,-10.51,14.70,0.14,off,14.70,192,1.000,0.0,0.00,0.00,808,438,71.8,3,16.00,0.41,104,108,5,3,2,10,22.0,4.87,8.69,0.86,2.96,216,1918,55.74,0,0,0,0,66.37,0.000,17.56,13.0,0.00,0
0.065,-3.91,0.00,13.74,0,0,0,0,70.2,12.91,-9.87,14.70,0.21,off,14.70,192,1.000,0.0,0.00,0.00,776,438,71.8,3,17.00,0.83,104,108,6,3,6,10,22.0,7.39,22.66,1.40,4.45,216,1954,81.20,0,0,0,0,66.36,0.000,19.37,20.9,2.35,0
0.101,-6.25,0.00,13.37,0,0,-3,-2,99.6,12.91,-6.46,14.70,0.64,on,14.70,192,1.000,0.0,0.00,0.00,706,1274,71.8,3,7.50,1.72,104,108,6,2,6,4,22.0,23.59,68.07,2.58,10.33,216,2015,134.11,0,0,0,0,66.37,0.000,21.11,42.9,9.80,0
0.104,-6.25,0.00,13.30,0,0,-3,-2,100.0,12.91,-4.70,14.66,0.84,on,14.70,192,1.000,0.0,0.00,0.00,944,1566,71.8,3,7.50,1.72,104,108,6,4,6,10,22.0,28.40,63.31,2.58,11.41,216,2039,161.11,0,0,0,0,66.37,0.020,21.11,42.9,9.80,0
0.107,-5.47,0.00,13.39,0,0,-8,-7,100.0,12.91,-1.96,14.32,0.92,on,14.42,192,1.000,0.0,0.00,0.00,1259,1685,71.8,3,13.00,3.34,104,108,28,37,51,10,22.0,30.35,34.92,2.16,12.77,216,1959,205.29,0,0,0,0,66.45,0.070,21.11,65.4,17.65,0
0.160,-5.47,0.00,13.82,0,0,-8,-7,100.0,12.91,-1.14,14.33,0.94,on,14.36,192,1.000,0.0,0.00,0.00,1475,1738,71.8,3,13.00,3.34,104,108,206,37,51,23,22.0,30.38,34.46,2.16,12.95,216,1907,229.96,0,0,0,0,64.65,0.100,21.11,65.4,17.65,0
0.172,-3.91,0.00,13.98,0,0,-10,-9,100.0,12.91,-0.79,14.33,0.96,on,14.36,192,1.000,0.0,0.00,0.00,1526,1738,71.8,3,13.00,3.25,104,109,206,139,350,23,22.0,30.11,31.58,2.14,13.06,216,1911,246.28,0,0,0,0,61.64,0.278,21.11,74.4,21.18,0
